smiles,HF,LF
C=CC(C)C(C)C,13.5,11.36
CC=C(CC)CC,13.53,11.5
C=CCC(C)(C)C,13.57,11.4
CCC(C)=C(C)C,13.57,11.57
CC(C)=CC(C)C,13.69,11.53
C/C=C(/C)C(C)C,13.53,11.5
C/C=C\C(C)(C)C,13.57,11.43
C/C=C/C(C)(C)C,13.65,11.55
C=C(CC)C(C)C,13.47,11.34
C=C(C)C(C)(C)C,13.47,11.27
C/C=C(\C)C(C)C,13.54,11.5
CCCCCCOC=O,14.52,12.02
CC1CCCCC1O,13.39,11.21
C[C@@H]1CCCC[C@H]1O,13.45,11.21
CCCC(C)CC=O,13.78,11.45
CCCCCCCBr,16.77,13.89
CCCCCCCF,13.65,11.45
CCCCC[C@@H](C)O,14.34,12.01
CCCC[C@H](O)CC,14.27,11.96
CCCCCCC,13.66,11.66
CCCCCCCO,14.26,12.01
CCC(O)(CC)CC,14.11,11.74
CC(C)C(O)C(C)C,14.22,11.76
CCCCCCCS,16.79,14.02
CCCC(C)CC,13.63,11.54
CCCCC(C)C,13.73,11.58
CCCC(C)(C)C,13.66,11.5
CC(C)C(C)(C)C,13.61,11.39
CCC(C)C(C)C,13.6,11.41
CC(C)CC(C)C,13.74,11.5
CCC(CC)CC,13.57,11.47
CCCOCCOCCO,15.71,12.89
CCCCC(C)CO,14.19,11.91
CC(C)CCCCO,14.41,11.93
CCCCCOCCO,14.99,12.45
CCCCOCC(C)O,15.1,12.41
COCCOCCOCCO,16.28,13.27
CCCCCCCN,15.06,12.61
c1ccc2nccnc2c1,15.13,13.42
C#Cc1ccccc1,13.91,11.57
N#CCc1ccccc1,13.96,11.77
CC(=O)c1ccc(Cl)cc1,16.5,13.56
CC(=O)c1ccccc1,14.42,11.87
CC(=O)Oc1ccccc1,14.88,12.1
COC(=O)c1ccccc1,15.01,12.27
COC(=O)c1ccccc1O,15.96,12.81
C=Cc1ccccc1,14.48,12.18
C1=C\C=C/C=C\C=C/1,14.07,11.75
COc1ccc(C=O)cc1,15.9,12.77
O=COCc1ccccc1,15.05,12.24
O=C(CO)c1ccccc1,15.44,12.26
Cc1ccccc1C=O,14.62,12.02
Cc1ccc(C=O)cc1,14.73,12.24
Cc1cccc(C=O)c1,14.69,12.12
CN(C=O)c1ccccc1,15.89,12.92
Cc1ccc(Cl)cc1C,16.11,13.46
COc1ccccc1OC,15.69,12.76
Cc1ccc(O)c(C)c1,14.79,12.41
CCc1ccccc1,14.17,11.82
Cc1ccccc1C,14.2,11.87
Cc1cccc(C)c1,14.26,11.96
Cc1ccc(C)cc1,14.28,12.01
CC(O)c1ccccc1,14.71,12.25
CCc1ccccc1O,14.86,12.24
CCOc1ccccc1,14.95,12.39
OCCc1ccccc1,14.71,12.23
C=CC(=O)OCCOC(=O)C=C,16.78,13.7
CCc1cccc(O)c1,14.98,12.35
Cc1cccc(C)c1N,16.21,13.03
CN(C)c1ccccc1,16.24,13.09
Cc1cc(C)cc(N)c1,16.25,13.18
CCNc1ccccc1,15.32,13.15
Cc1cc(C)nc(C)c1,15.37,13.03
CNCc1ccccc1,15.52,12.95
CCc1ccccc1N,15.87,12.96
CCOc1ccc(N)cc1,16.47,13.54
C1=C\CC/C=C\CC/1,14.14,12.02
C=CC1CC=CCC1,14.32,12.17
CC1=CC2CCC1C2,13.6,11.61
CCCC1=CCCC1,14.51,12.38
C#CCCCCCC,14.69,12.14
CC#CCCCCC,14.79,12.64
CCC#CCCCC,14.85,12.68
C1=CCCCCCC1,14.42,12.23
CCOC(=O)CCC(=O)OCC,16.88,13.66
C=C(C)CCC(=C)C,15.28,12.68
CC(C)=CC=C(C)C,16.2,14.43
CCCCCCC(C)=O,15.56,13.09
CCCCCCCC(=O)O,16.2,13.44
C1CCCCCCC1,14.55,12.43
CCOCCOCCOC(C)=O,17.61,14.39
CCC1(C)CCCC1,14.64,12.36
CC[C@@H]1CCC[C@H]1C,14.7,12.44
CC[C@H]1CC[C@@H](C)C1,14.66,12.54
CC[C@H]1CC[C@H](C)C1,14.66,12.53
CC1CCCC1(C)C,14.67,12.33
CC1CCC(C)(C)C1,14.77,12.45
C[C@@H]1[C@H](C)CC[C@@H]1C,14.64,12.34
C[C@H]1[C@H](C)CC[C@@H]1C,14.75,12.47
C[C@H]1C[C@@H](C)[C@@H](C)C1,14.66,12.43
C[C@@H]1C[C@@H](C)[C@@H](C)C1,14.71,12.43
CC1C[C@H](C)[C@@H](C)C1,14.77,12.51
CCC1CCCCC1,14.67,12.37
CC1(C)CCCCC1,14.69,12.4
C[C@@H]1CCCC[C@@H]1C,14.61,12.38
C[C@H]1CCCC[C@@H]1C,14.72,12.31
C[C@@H]1CCC[C@H](C)C1,14.79,12.53
C[C@H]1CCC[C@H](C)C1,14.67,12.42
C[C@H]1CC[C@@H](C)CC1,14.68,12.42
C[C@H]1CC[C@H](C)CC1,14.79,12.32
C=CCCCCCC,15.33,13.08
C/C=C/CCCCC,15.43,13.22
CC/C=C\CCCC,15.41,13.22
CC/C=C/CCCC,15.51,13.27
CCC/C=C\CCC,15.45,13.22
CCC/C=C/CCC,15.5,13.39
C=C(C)CCCCC,15.37,12.95
C=CC(C)CCCC,14.18,13.02
C=CC[C@H](C)CCC,15.39,13.02
C=CCCC(C)CC,15.37,13.08
C=CCCCC(C)C,15.38,13.06
CCCCC=C(C)C,15.45,13.22
C/C=C(/C)CCCC,15.43,13.15
C/C=C(\C)CCCC,15.43,13.24
C/C=C\C(C)CCC,15.41,13.14
C/C=C/C(C)CCC,15.41,13.3
C/C=C\CC(C)CC,15.39,13.14
C/C=C/CC(C)CC,15.39,13.24
C/C=C\CCC(C)C,15.44,13.2
C/C=C/CCC(C)C,15.44,13.31
CCC/C=C/C(C)C,15.53,13.27
CCC/C=C\C(C)C,15.53,13.15
CCC/C=C(/C)CC,15.42,13.23
CCC/C=C(\C)CC,15.42,13.28
CC/C=C(/C)CCC,15.45,13.22
CC/C=C(\C)CCC,15.45,13.2
CC/C=C\C(C)CC,15.48,13.24
CC/C=C/C(C)CC,15.48,13.26
CC/C=C\CC(C)C,15.48,13.22
CC/C=C/CC(C)C,15.48,13.31
C=C(CC)CCCC,15.35,12.97
C=CC(CC)CCC,15.38,12.98
C=CCC(CC)CC,15.26,13.03
C=C(C)C(C)CCC,15.33,12.85
C=C(C)CC(C)CC,15.36,12.9
C=C(C)CCC(C)C,15.39,12.94
C=CC(C)C(C)CC,15.34,12.95
C=CC(C)CC(C)C,15.39,12.92
C=CCC(C)(C)CC,15.33,12.96
C=CCC(C)C(C)C,15.29,12.95
C=CCCC(C)(C)C,15.38,13.04
C/C=C(/CC)CCC,15.42,13.14
C/C=C(\CC)CCC,15.42,13.15
C/C=C\C(CC)CC,15.29,13.06
C/C=C/C(CC)CC,15.29,13.17
CCCC(C)=C(C)C,15.54,13.22
CCC(C)C=C(C)C,15.35,13.1
CC(C)=CCC(C)C,15.44,13.25
C/C=C(/C)C(C)CC,15.23,13.04
C/C=C/C(C)(C)CC,15.38,13.14
C/C=C\C(C)C(C)C,15.32,13.09
C/C=C/C(C)C(C)C,15.32,13.21
C/C=C\CC(C)(C)C,15.43,13.08
C/C=C/CC(C)(C)C,15.46,13.2
CCC=C(CC)CC,15.4,13.22
CC/C=C\C(C)(C)C,15.47,13.11
CC/C=C/C(C)(C)C,15.54,13.26
CC/C=C(/C)C(C)C,15.35,13.19
CC/C=C(\C)C(C)C,15.35,13.23
CC/C(C)=C/C(C)C,15.52,13.3
CC(C)/C=C\C(C)C,15.41,13.08
CC(C)/C=C/C(C)C,15.41,13.27
CC/C(C)=C(/C)CC,15.4,13.14
CC/C(C)=C(\C)CC,15.4,13.12
C=C(CCC)CCC,15.35,12.98
C=C(CCC)C(C)C,15.35,12.96
C=C(CC)C(C)CC,15.26,12.86
C=C(CC)CC(C)C,15.34,12.97
C=C(C)C(CC)CC,15.28,12.84
C=CC(C)(CC)CC,15.37,12.81
C=C(C)C(C)(C)CC,15.25,12.8
C=C(C)C(C)C(C)C,15.3,12.82
C=C(C)CC(C)(C)C,15.37,12.88
C=CC(C)(C)C(C)C,15.27,12.86
C=CC(C)C(C)(C)C,15.41,12.93
CCC(CC)=C(C)C,15.39,13.14
C/C=C(/CC)C(C)C,15.38,13.04
C/C=C(\CC)C(C)C,15.35,13.02
CC(C)=C(C)C(C)C,15.39,13.1
CC(C)=CC(C)(C)C,15.47,13.16
C/C=C(/C)C(C)(C)C,15.35,12.95
C/C=C(\C)C(C)(C)C,15.35,13.02
C=C(C(C)C)C(C)C,15.22,12.85
C=C(CC)C(C)(C)C,15.34,12.85
CC/C(C)=C\C(C)C,15.45,13.22
CCCCC(C=O)CC,15.57,13.05
CCCCCCCOC=O,16.21,13.66
CC(C)C1CCCC1,14.68,12.47
CCCCC(=O)CCC,15.52,13.06
CCCCCCCCCl,17.47,14.64
CCCCCCCCBr,18.59,15.54
CCCCCCCCF,15.49,13.09
CN(C)C1CCCCC1,16.09,13.3
CCCC(=O)N(CC)CC,16.85,13.92
CCCCCCCCO,16.07,13.62
CCCC[C@@H](CC)CO,16.03,13.47
CCCCCC[C@@H](C)O,16.14,13.65
CCCCC(C)CC,15.52,13.15
CC(C)CC(C)(C)C,15.51,13.04
CCCCOCCCC,16.26,13.75
CC(C)(C)OC(C)(C)C,16.27,13.42
CC(C)(C)SC(C)(C)C,19.31,15.89
OCCOCCOCCOCCO,18.66,15.31
CCCCSCCCC,18.74,16.03
CCOCCOCCOCC,17.68,14.54
COCCOCCOCCOC,18.29,14.96
CCCCCC(C)C,15.54,13.22
CCC(C)(CC)CC,15.35,12.97
CCCC(CC)CC,15.44,13.05
CCC(CC)C(C)C,15.38,12.98
CCCCC(C)(C)C,15.55,13.0
CCCC(C)C(C)C,15.46,12.96
CCC(C)CC(C)C,15.59,13.08
CC(C)CCC(C)C,15.56,13.09
CCCC(C)(C)CC,15.45,12.99
CCC(C)C(C)CC,15.39,12.94
CCC(C)C(C)(C)C,15.43,12.92
CC(C)C(C)C(C)C,15.39,12.93
CCCCCCOCCO,16.91,14.09
CCCCCCCCS,18.65,15.67
CCCCNCCCC,16.95,14.36
CCCCOP(O)OCCCC,19.86,17.32
CC(C)CNCC(C)C,17.05,14.22
CCO[Si](OCC)(OCC)OCC,21.14,16.76
CC[Si](CC)(CC)CC,19.18,15.98
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,18.68,12.93
c1ccc2cnccc2c1,16.37,13.87
c1ccc2ncccc2c1,16.61,14.01
O=C/C=C/c1ccccc1,17.5,14.83
C1=Cc2ccccc2C1,15.29,12.93
Cc1cc2ccccc2o1,15.8,13.49
C=C(C)c1ccccc1,16.14,13.56
CC(=O)Cc1ccccc1,15.8,13.38
CCC(=O)c1ccccc1,16.2,13.49
CCOC(=O)c1ccccc1,16.9,13.96
CC(=O)c1ccc(C)cc1,16.4,13.82
CCOC(=O)c1ccccc1O,17.8,14.46
c1ccc2c(c1)CCC2,15.21,12.96
C/C=C\c1ccccc1,16.25,13.77
C=Cc1cccc(C)c1,16.15,14.01
C=Cc1ccccc1C,16.22,13.76
C=Cc1ccc(C)cc1,16.04,14.15
CC(=O)OCc1ccccc1,17.31,13.8
C/C=C/c1ccccc1,16.45,14.16
N[C@@H](Cc1ccccc1)C(=O)O,18.21,14.61
Cc1cc(C)cc(C)c1,16.18,13.74
CC(C)c1ccccc1O,16.71,13.93
OCCCc1ccccc1,16.44,13.92
SCCCc1ccccc1,19.02,15.97
Cc1ccc(C)c(C)c1,16.13,13.69
CCc1ccccc1C,16.02,13.53
CCc1cccc(C)c1,16.12,13.66
CCc1ccc(C)cc1,16.15,13.73
Cc1cccc(C)c1C,16.04,13.56
CCOCc1ccccc1,16.61,13.82
CCC(O)c1ccccc1,16.34,13.85
CC(CO)c1ccccc1,16.46,13.86
CC(O)Cc1ccccc1,16.64,13.82
CN(C)Cc1ccccc1,17.53,14.54
CCC1=CC2CCC1C2,15.42,13.05
C#CCCCCCCC,16.55,14.06
CCCCC1=CCCC1,16.35,13.92
CC#CCCCCCC,16.65,14.08
CCC#CCCCCC,16.71,14.15
CCCCCCCCC(=O)O,17.98,15.08
CC(C)(C)C(=O)C(C)(C)C,17.37,14.35
CC(C)CC(=O)CC(C)C,17.51,14.47
CCCCC(=O)CCCC,17.44,14.7
CCCCCCCC(=O)OC,18.09,15.07
CCCCC1CCCC1,16.52,13.95
CC(C)CC1CCCC1,16.55,13.98
CCC(C)C1CCCC1,16.46,13.88
CCCC1(C)CCCC1,16.43,13.93
CCC[C@H]1CCC[C@@H]1C,16.54,14.03
CCC[C@@H]1CC[C@H](C)C1,16.46,14.1
CCC[C@H]1CC[C@H](C)C1,16.46,14.05
CC(C)[C@H]1CCC[C@H]1C,16.47,13.94
CC(C)[C@@H]1CCC[C@H]1C,16.56,14.01
CC(C)[C@H]1CC[C@@H](C)C1,16.43,14.05
CC(C)[C@@H]1CC[C@@H](C)C1,16.43,14.1
CCC1(CC)CCCC1,16.39,13.91
CC[C@@H]1CCC[C@@H]1CC,16.42,13.95
CC[C@H]1CCC[C@@H]1CC,16.49,14.01
CC[C@@H]1CC[C@H](CC)C1,16.44,14.14
CC[C@@H]1CCC(C)(C)C1,16.5,14.04
CC[C@]1(C)CCC[C@@H]1C,16.43,13.87
CC[C@]1(C)CCC[C@H]1C,16.42,13.86
CC[C@H]1C[C@@H](C)[C@@H](C)C1,16.32,14.05
CC[C@@H]1C[C@@H](C)[C@@H](C)C1,16.43,14.02
CC(C)C1CCCCC1,16.48,13.92
CCCCCCCCOC=O,18.02,15.31
CCCCCCCCCBr,20.43,17.2
CCCCCCCCCF,17.33,14.73
CCCCCCC(C)C,17.4,14.86
CC(C)CC(O)CC(C)C,17.97,15.06
CCCCCC(C)(C)C,17.42,14.77
CC(C)CCCC(C)C,17.4,14.78
CCCCC(C)CCCO,18.1,15.17
CCCCCC(C)CC,17.35,14.79
CCCCC(C)CCC,17.35,14.81
CCCCCCCCCO,17.99,15.29
CCCCCCCC(C)O,17.92,15.22
CCCCCCCCCS,20.45,17.32
CC(C)C(C)(C)C(C)C,17.13,14.44
CC(C)CCC(C)(C)C,17.41,14.67
CCCN(CCC)CCC,18.86,15.86
CCCOP(=O)(OCCC)OCCC,22.24,18.18
CCCCCCCCCN,18.76,15.9
Fc1c(F)c(F)c2c(F)c(F)c(F)c(F)c2c1F,17.64,14.31
FC1(F)C(F)(F)C(F)(F)C2(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C2(F)C1(F)F,18.49,13.26
Brc1cccc2ccccc12,20.45,17.18
Clc1cccc2ccccc12,19.66,16.28
Ic1cccc2ccccc12,22.41,18.92
Ic1ccc2ccccc2c1,22.95,19.32
Clc1ccc2ccccc2c1,19.58,16.51
c1ccc2ccccc2c1,16.72,14.75
Nc1cccc2ccccc12,19.5,15.91
Nc1ccc2ccccc2c1,19.73,16.17
Cc1ccc2ccccc2n1,18.64,15.94
Cc1cccc2cccnc12,18.63,15.8
Cc1nc2ccccc2nc1C,18.7,17.19
COC(=O)c1ccccc1C(=O)OC,19.49,15.93
C=Cc1cccc(C=C)c1,18.4,15.81
CC1C=Cc2ccccc21,17.22,14.62
CC1=Cc2ccccc2C1,17.25,14.89
c1ccc2c(c1)CCCC2,16.98,14.54
C/C=C/c1ccc(OC)cc1,19.36,16.58
C=Cc1ccccc1CC,18.11,15.41
C=Cc1cccc(CC)c1,18.25,15.63
C=Cc1ccc(CC)cc1,18.36,15.9
CCCOC(=O)c1ccccc1,18.65,15.64
Cc1ccc(C)c(C)c1C,17.91,15.33
CC(C)(C)c1ccccc1,17.84,15.08
CC(C)(C)c1ccccc1O,18.6,15.53
Cc1ccc(C(C)C)cc1O,18.6,15.82
Cc1ccc(C(C)C)cc1,18.0,15.38
CCCCc1ccccc1,17.87,15.23
CCc1ccccc1CC,17.9,15.2
CCc1cccc(CC)c1,17.98,15.34
CCc1ccc(CC)cc1,18.01,15.45
CCc1cc(C)cc(C)c1,18.05,15.45
CC(C)Cc1ccccc1,17.93,15.13
CCCc1cccc(C)c1,17.99,15.36
CCCc1ccc(C)cc1,18.0,15.45
CC[C@H](C)c1ccccc1,17.87,15.07
CCc1cccc(CC)c1N,20.77,16.37
C1C2CC3CC1CC(C2)C3,15.93,14.16
C1CC[C@H]2CCCC[C@@H]2C1,17.53,15.04
CC1(C)O[C@]2(C)CC[C@H]1CC2,18.1,15.22
C1CC[C@H]2CCCC[C@H]2C1,17.55,14.9
CCCCCCCCCCBr,22.27,18.86
CCCCCCCCCCF,19.17,16.38
CCCCCCCCCC,19.22,16.59
CCCCCOCCCCC,20.01,17.04
CCCCCCCCCCO,19.94,16.94
CCCCCCCCCCS,22.3,18.98
CCCCCCCC(C)C,19.23,16.51
CCCCCCOCCOCCO,21.35,17.82
CC(C)CCCCCCCO,19.51,16.86
O=Cc1cccc2ccccc12,19.75,16.66
O=Cc1ccc2ccccc2c1,20.06,17.04
Cc1cccc2ccccc12,19.36,16.48
Cc1ccc2ccccc2c1,19.52,16.71
CC(C)=C(C)c1ccccc1,19.64,16.92
CCCCCc1ccccc1,19.73,16.9
CC(C)(C)NCc1ccccc1,21.11,17.82
CCCCCCCCCCC#N,20.85,18.17
CCCCCCCCCC(=O)OC,21.67,18.38
CCCCCCCCCCCF,21.01,18.03
CCCCCCCCCCC,21.07,18.24
CCCCCCCCCCCO,21.62,18.6
CCCCCCCCCCCN,22.43,19.21
c1ccc2nc3ccccc3nc2c1,23.42,21.17
c1cc2c3c(cccc3c1)CC2,20.61,17.59
CCc1ccc2ccccc2c1,21.36,18.5
CCc1cccc2ccccc12,21.21,18.16
c1ccc(C2CCCCC2)cc1,20.7,17.59
CCCCN(C(C)=O)c1ccccc1,23.06,19.19
CCN(CC)C(=O)c1cccc(C)c1,23.19,19.55
Cc1c(C)c(C)c(C)c(C)c1C,20.81,18.8
CCCCCCc1ccccc1,21.54,18.56
CCc1ccc(CC)c(CC)c1,21.76,18.79
CCc1cc(CC)cc(CC)c1,21.77,18.82
CCCCCCCCCCCC#N,22.82,19.82
CCCCCCCCCCCCBr,25.96,22.18
CCCCCCCCCCCCF,22.85,19.68
CCCCCCCCCCCCO,23.7,20.25
CCCCCCCCCCCCS,25.98,22.3
CCCCN(CCCC)CCCC,24.43,20.76
CCCCP(CCCC)CCCC,27.15,23.55
CCCCOP(OCCCC)OCCCC,27.8,24.0
c1ccc2c(c1)Cc1ccccc1-2,21.68,19.13
O=C(c1ccccc1)c1ccccc1,22.5,19.17
CCOC(=O)c1ccc2ccccc2c1,24.19,20.66
CCCc1cccc2ccccc12,23.18,19.87
CC(C)(C)c1cccc(C(C)(C)C)n1,24.98,21.01
CCCCCCCCCCCC(=O)OC,25.35,21.69
CCCCCCCCCCCCC,24.82,21.56
Brc1c2ccccc2cc2ccccc12,28.32,24.9
Clc1c2ccccc2cc2ccccc12,27.35,23.99
c1ccc2cc3ccccc3cc2c1,25.37,22.45
c1ccc2c(c1)ccc1ccccc12,24.7,21.24
O=C(OCc1ccccc1)c1ccccc1,24.59,20.92
c1ccc(COCc2ccccc2)cc1,23.65,20.93
CCc1cc(CC)c(CC)c(CC)c1,25.44,22.11
CCCCCCCCCCCCCCF,26.53,23.0
CCCCCCCCCCCCCC,26.58,23.21
CCCCCCCCCCCCCCC,28.43,24.87
c1cc2ccc3cccc4ccc(c1)c2c34,28.22,24.78
c1ccc2c(c1)-c1cccc3cccc-2c13,28.34,24.44
CCCCCCCCCCCCCCCC,30.28,26.54
c1ccc2c(c1)ccc1c3ccccc3ccc21,32.15,28.41
c1ccc2c(c1)c1ccccc1c1ccccc21,31.07,27.37
c1ccc2cc3cc4ccccc4cc3cc2c1,32.27,31.39
CCCCOC(=O)CCCCCCCCC(=O)OCCCC,35.06,30.19
